f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,class
0.999762,3.76534,1.7456,1.35842,5.54963,4.54035,1.07323,2.78907,1.88226,1.67121,NB
2.50849,7.83243,1.88143,11.3496,8.86206,5.79836,1.10807,5.45582,2.5048,4.29324,NB
3.59914,2.04448,6.39501,8.33915,2.44454,4.47111,6.7495,3.91857,2.10819,4.33798,B
7.6709,1.14141,6.0793,3.48797,3.3976,1.98049,0.822345,2.312,2.82338,4.2731,B
1.74504,4.30324,1.2188,9.54955,5.41624,5.66679,3.57511,4.53836,2.08544,5.24853,NB
5.28965,0.658169,3.58848,0.883334,1.0511,0.985629,0.344967,1.24774,1.99279,2.37593,NB
7.14376,7.42135,1.40051,12.5935,3.97298,6.4516,12.0425,8.42023,1.25159,5.79441,B
5.79862,3.92059,8.55544,7.59667,3.43618,5.09434,8.03877,5.47621,2.60883,5.74296,B
11.2155,7.31857,10.938,1.96005,5.36963,3.63782,1.03142,4.31817,3.42155,3.37374,B
13.0151,1.3557,8.05067,4.77,2.40597,2.6522,4.19884,3.25392,2.51943,4.17243,B
6.01675,4.85645,4.88436,5.50771,3.58725,6.76783,14.6245,7.02162,3.62147,4.58184,B
0.618035,0.715021,1.45191,0.687568,1.62969,1.62271,0.498285,0.884838,2.53081,1.22824,NB
1.01794,1.26167,2.50367,1.12923,2.59883,2.18131,0.585398,1.65143,1.86275,1.73832,NB
1.4542,1.30103,2.44126,7.53699,2.06042,1.37803,0.623728,1.81045,3.08671,3.33794,B
2.83569,13.7953,1.72173,11.9226,9.87298,14.1589,17.8337,11.5967,2.23498,7.71395,B
0.963407,3.4942,2.44677,1.72608,2.06846,3.93097,9.50226,3.91041,2.78112,2.54149,B
2.81751,4.49129,1.06278,6.4937,2.88169,4.19412,6.72511,4.40788,1.56692,2.97327,B
2.56303,7.23111,1.07012,8.55163,6.88521,7.29411,6.91327,6.22649,2.17484,3.49007,NB
8.19805,17.5388,1.80433,17.9102,8.68687,15.0176,24.8724,16.4816,2.51455,8.99141,B
9.43412,2.40964,4.66961,2.60464,3.67725,3.22464,1.10807,3.09082,2.51943,3.33347,NB
10.652,28.603,4.44016,6.54383,25.1011,11.8645,2.20221,14.2716,3.37116,5.76757,NB
3.10835,15.7283,1.42438,6.45789,9.24617,15.1261,15.1437,11.4866,1.55879,4.08517,NB
5.74409,1.80832,8.51506,3.22775,3.39117,2.22747,0.7875,2.57704,2.36989,3.70708,B
7.38006,6.63854,5.826,10.156,6.58788,7.6242,7.18506,7.81267,2.65434,6.88394,B
2.94475,11.0227,1.87592,5.27374,10.3471,12.2292,15.7047,10.6833,2.52755,6.26423,NB
9.8522,1.72742,1.61527,7.71604,2.68722,1.92278,1.63424,2.70344,3.95144,5.32683,B
0.94523,2.92131,0.978341,7.75424,2.54579,4.45495,8.56493,4.06944,1.56367,3.8704,B
1.07247,1.3557,7.70191,2.18924,2.13435,1.21876,0.550553,2.00618,3.23462,3.05158,B
1.01794,0.474494,2.57893,0.950181,0.691092,0.773268,0.358905,0.909303,2.90141,2.0672,B
5.05334,4.07365,4.31535,4.5623,3.35582,5.50521,7.86454,4.9869,1.68395,3.62207,B
7.271,10.4236,3.87482,2.73833,8.33008,8.59597,6.24425,6.71987,2.76324,3.67129,NB
1.8541,0.319245,9.21256,1.09104,0.70395,0.782501,0.404203,1.0561,3.22162,3.03144,NB
1.89046,0.297379,3.11858,0.799775,0.740915,0.828667,0.299668,0.905226,1.97328,1.80992,B
7.6709,1.42785,18.8528,2.87203,4.18834,2.60141,1.37638,2.99295,3.90593,4.73844,B
6.74385,1.30322,7.7992,5.27613,2.82223,2.66835,1.10807,2.18559,2.3065,5.40066,B
3.03564,5.5015,1.43539,9.43496,3.24974,7.47185,17.4923,8.88508,1.41576,4.01135,B
0.854342,0.183675,0.791117,0.501352,0.340725,0.367014,0.243916,0.452613,3.54995,1.05597,NB
1.39967,0.299565,3.30764,0.713829,0.633234,0.870215,0.536615,0.729889,2.02529,1.87927,B
12.0335,4.63561,4.96146,9.38005,4.26067,6.07997,10.91,7.5884,2.16346,6.34253,B
